NM_MUNICIP,CD_GEOCMU,CONT
ALVORADA DO GURGUÉIA,2200459,675
AMARANTE,2200509,676
ANGICAL DO PIAUÍ,2200608,677
ANÍSIO DE ABREU,2200707,678
ANTÔNIO ALMEIDA,2200806,679
AROAZES,2200905,680
AROEIRAS DO ITAIM,2200954,681
ARRAIAL,2201002,682
ASSUNÇÃO DO PIAUÍ,2201051,683
AVELINO LOPES,2201101,684
BAIXA GRANDE DO RIBEIRO,2201150,685
BARRA D'ALCÂNTARA,2201176,686
BARRAS,2201200,687
BARREIRAS DO PIAUÍ,2201309,688
BARRO DURO,2201408,689
BATALHA,2201507,690
BELA VISTA DO PIAUÍ,2201556,691
BELÉM DO PIAUÍ,2201572,692
BENEDITINOS,2201606,693
BERTOLÍNIA,2201705,694
BETÂNIA DO PIAUÍ,2201739,695
BOA HORA,2201770,696
BOCAINA,2201804,697
BOM JESUS,2201903,698
BOM PRINCÍPIO DO PIAUÍ,2201919,699
BONFIM DO PIAUÍ,2201929,700
BOQUEIRÃO DO PIAUÍ,2201945,701
BRASILEIRA,2201960,702
BREJO DO PIAUÍ,2201988,703
BURITI DOS LOPES,2202000,704
BURITI DOS MONTES,2202026,705
CABECEIRAS DO PIAUÍ,2202059,706
CAJAZEIRAS DO PIAUÍ,2202075,707
CAJUEIRO DA PRAIA,2202083,708
CALDEIRÃO GRANDE DO PIAUÍ,2202091,709
CAMPINAS DO PIAUÍ,2202109,710
CAMPO ALEGRE DO FIDALGO,2202117,711
CAMPO GRANDE DO PIAUÍ,2202133,712
CAMPO LARGO DO PIAUÍ,2202174,713
CAMPO MAIOR,2202208,714
CANAVIEIRA,2202251,715
CANTO DO BURITI,2202307,716
CAPITÃO DE CAMPOS,2202406,717
CAPITÃO GERVÁSIO OLIVEIRA,2202455,718
CARACOL,2202505,719
CARAÚBAS DO PIAUÍ,2202539,720
CARIDADE DO PIAUÍ,2202554,721
CASTELO DO PIAUÍ,2202604,722
CAXINGÓ,2202653,723
COCAL,2202703,724
COCAL DE TELHA,2202711,725
COCAL DOS ALVES,2202729,726
COIVARAS,2202737,727
COLÔNIA DO GURGUÉIA,2202752,728
COLÔNIA DO PIAUÍ,2202778,729
CONCEIÇÃO DO CANINDÉ,2202802,730
CORONEL JOSÉ DIAS,2202851,731
CORRENTE,2202901,732
CRISTALÂNDIA DO PIAUÍ,2203008,733
CRISTINO CASTRO,2203107,734
CURIMATÁ,2203206,735
CURRAIS,2203230,736
CURRALINHOS,2203255,737
CURRAL NOVO DO PIAUÍ,2203271,738
DEMERVAL LOBÃO,2203305,739
DIRCEU ARCOVERDE,2203354,740
DOM EXPEDITO LOPES,2203404,741
DOMINGOS MOURÃO,2203420,742
DOM INOCÊNCIO,2203453,743
ELESBÃO VELOSO,2203503,744
ELISEU MARTINS,2203602,745
ESPERANTINA,2203701,746
FARTURA DO PIAUÍ,2203750,747
FLORES DO PIAUÍ,2203800,748
FLORESTA DO PIAUÍ,2203859,749
FLORIANO,2203909,750
FRANCINÓPOLIS,2204006,751
FRANCISCO AYRES,2204105,752
FRANCISCO MACEDO,2204154,753
FRANCISCO SANTOS,2204204,754
FRONTEIRAS,2204303,755
GEMINIANO,2204352,756
GILBUÉS,2204402,757
GUADALUPE,2204501,758
GUARIBAS,2204550,759
HUGO NAPOLEÃO,2204600,760
ILHA GRANDE,2204659,761
INHUMA,2204709,762
IPIRANGA DO PIAUÍ,2204808,763
ISAÍAS COELHO,2204907,764
ITAINÓPOLIS,2205003,765
ITAUEIRA,2205102,766
JACOBINA DO PIAUÍ,2205151,767
JAICÓS,2205201,768
JARDIM DO MULATO,2205250,769
JATOBÁ DO PIAUÍ,2205276,770
